"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.header","Answer.intent.label","Approve","Reject"
"3R5OYNIC2CATS7ZTL2RP28LN2RTTPL","3D7SO00DFLP8113XEKAE363T1IOVC0","Connotation of a Header","Select the connotation of the header","text, classification, intent","$0.02","Fri Apr 23 22:59:38 PDT 2021","3","BatchId:4419456;OriginalHitTemplateId:929448123;","86400","259200","Sun Apr 25 22:59:38 PDT 2021","","","3B2X28YI3WGN8ZL1WM6XLYK7BTY6BD","AVASQBFN6J692","Submitted","Fri Apr 23 23:08:16 PDT 2021","Fri Apr 23 23:08:24 PDT 2021","Mon Apr 26 23:08:24 PDT 2021","","","","8","0% (0/0)","0% (0/0)","0% (0/0)","Fallout Dangers From A-Test Cited","Negative"
"3R5OYNIC2CATS7ZTL2RP28LN2RTTPL","3D7SO00DFLP8113XEKAE363T1IOVC0","Connotation of a Header","Select the connotation of the header","text, classification, intent","$0.02","Fri Apr 23 22:59:38 PDT 2021","3","BatchId:4419456;OriginalHitTemplateId:929448123;","86400","259200","Sun Apr 25 22:59:38 PDT 2021","","","3URFVVM165J4S8EIYIK3NM5Q5I1UZ8","A2VO8C41JJIQY9","Submitted","Fri Apr 23 23:00:45 PDT 2021","Fri Apr 23 23:04:01 PDT 2021","Mon Apr 26 23:04:01 PDT 2021","","","","196","0% (0/0)","0% (0/0)","0% (0/0)","Fallout Dangers From A-Test Cited","Negative"
"3XJOUITW8USESJ08LF6E2DBX7NFTQC","3D7SO00DFLP8113XEKAE363T1IOVC0","Connotation of a Header","Select the connotation of the header","text, classification, intent","$0.02","Fri Apr 23 22:59:38 PDT 2021","3","BatchId:4419456;OriginalHitTemplateId:929448123;","86400","259200","Sun Apr 25 22:59:38 PDT 2021","","","31Z0PCVWUKG68LTNFI2AR6QPCBHT7O","A2VO8C41JJIQY9","Submitted","Fri Apr 23 23:02:36 PDT 2021","Fri Apr 23 23:06:29 PDT 2021","Mon Apr 26 23:06:29 PDT 2021","","","","233","0% (0/0)","0% (0/0)","0% (0/0)","Labor Legislation Criticized In Faculty Debate Panel Anti-Trust Legislation Cited Not Compatable With Labor","Negative"
"3XJOUITW8USESJ08LF6E2DBX7NFTQC","3D7SO00DFLP8113XEKAE363T1IOVC0","Connotation of a Header","Select the connotation of the header","text, classification, intent","$0.02","Fri Apr 23 22:59:38 PDT 2021","3","BatchId:4419456;OriginalHitTemplateId:929448123;","86400","259200","Sun Apr 25 22:59:38 PDT 2021","","","3LO69W1SU3E1I1WJZC4DBST1H1ELGG","AVASQBFN6J692","Submitted","Fri Apr 23 23:03:10 PDT 2021","Fri Apr 23 23:03:23 PDT 2021","Mon Apr 26 23:03:23 PDT 2021","","","","13","0% (0/0)","0% (0/0)","0% (0/0)","Labor Legislation Criticized In Faculty Debate Panel Anti-Trust Legislation Cited Not Compatable With Labor","Negative"
"385MDVINFCGPYD0PLURGSW6AXM5WJE","3D7SO00DFLP8113XEKAE363T1IOVC0","Connotation of a Header","Select the connotation of the header","text, classification, intent","$0.02","Fri Apr 23 22:59:38 PDT 2021","3","BatchId:4419456;OriginalHitTemplateId:929448123;","86400","259200","Sun Apr 25 22:59:38 PDT 2021","","","3AWETUDC92TZJHJI41VP4JHFBNEIZO","A12HSEVJPQODFW","Submitted","Fri Apr 23 23:02:01 PDT 2021","Fri Apr 23 23:02:24 PDT 2021","Mon Apr 26 23:02:24 PDT 2021","","","","23","0% (0/0)","0% (0/0)","0% (0/0)","Campus Guard Reports Six Fires Deliberately Set","Neutral"
"385MDVINFCGPYD0PLURGSW6AXM5WJE","3D7SO00DFLP8113XEKAE363T1IOVC0","Connotation of a Header","Select the connotation of the header","text, classification, intent","$0.02","Fri Apr 23 22:59:38 PDT 2021","3","BatchId:4419456;OriginalHitTemplateId:929448123;","86400","259200","Sun Apr 25 22:59:38 PDT 2021","","","3WYGZ5XF3WGTO0NS9CMTL6ZPGC3KSW","A2VO8C41JJIQY9","Submitted","Fri Apr 23 23:01:09 PDT 2021","Fri Apr 23 23:05:41 PDT 2021","Mon Apr 26 23:05:41 PDT 2021","","","","272","0% (0/0)","0% (0/0)","0% (0/0)","Campus Guard Reports Six Fires Deliberately Set","Negative"
"3E24UO25QZR559CGAP6H2YOJ8EMO6O","3D7SO00DFLP8113XEKAE363T1IOVC0","Connotation of a Header","Select the connotation of the header","text, classification, intent","$0.02","Fri Apr 23 22:59:38 PDT 2021","3","BatchId:4419456;OriginalHitTemplateId:929448123;","86400","259200","Sun Apr 25 22:59:38 PDT 2021","","","34BBWHLWHACVPMEDTEBI5FNXULAIWY","AVASQBFN6J692","Submitted","Fri Apr 23 23:01:46 PDT 2021","Fri Apr 23 23:01:59 PDT 2021","Mon Apr 26 23:01:59 PDT 2021","","","","13","0% (0/0)","0% (0/0)","0% (0/0)","One Year After Wharton Weighs Effects Of Liberalized Curriculum","Negative"
"3E24UO25QZR559CGAP6H2YOJ8EMO6O","3D7SO00DFLP8113XEKAE363T1IOVC0","Connotation of a Header","Select the connotation of the header","text, classification, intent","$0.02","Fri Apr 23 22:59:38 PDT 2021","3","BatchId:4419456;OriginalHitTemplateId:929448123;","86400","259200","Sun Apr 25 22:59:38 PDT 2021","","","38BQUHLA9W19GWV2N7I0GEHS8SVOM8","A2VO8C41JJIQY9","Submitted","Fri Apr 23 23:06:50 PDT 2021","Fri Apr 23 23:07:16 PDT 2021","Mon Apr 26 23:07:16 PDT 2021","","","","26","0% (0/0)","0% (0/0)","0% (0/0)","One Year After Wharton Weighs Effects Of Liberalized Curriculum","Neutral"
"3TKXBROM5TB7XIGKWDN1R5X2IB7IJT","3D7SO00DFLP8113XEKAE363T1IOVC0","Connotation of a Header","Select the connotation of the header","text, classification, intent","$0.02","Fri Apr 23 22:59:39 PDT 2021","3","BatchId:4419456;OriginalHitTemplateId:929448123;","86400","259200","Sun Apr 25 22:59:39 PDT 2021","","","3HOSI13XHZPF85Y0K55HMUIZV0WDDI","A2VO8C41JJIQY9","Submitted","Fri Apr 23 23:01:01 PDT 2021","Fri Apr 23 23:05:14 PDT 2021","Mon Apr 26 23:05:14 PDT 2021","","","","253","0% (0/0)","0% (0/0)","0% (0/0)","Columbia Lit. Editors Protest Censorship","Negative"
"3TKXBROM5TB7XIGKWDN1R5X2IB7IJT","3D7SO00DFLP8113XEKAE363T1IOVC0","Connotation of a Header","Select the connotation of the header","text, classification, intent","$0.02","Fri Apr 23 22:59:39 PDT 2021","3","BatchId:4419456;OriginalHitTemplateId:929448123;","86400","259200","Sun Apr 25 22:59:39 PDT 2021","","","3QRYMNZ7FYIVB6LAVPJZN3CFCQMTNZ","AVASQBFN6J692","Submitted","Fri Apr 23 23:04:45 PDT 2021","Fri Apr 23 23:04:53 PDT 2021","Mon Apr 26 23:04:53 PDT 2021","","","","8","0% (0/0)","0% (0/0)","0% (0/0)","Columbia Lit. Editors Protest Censorship","Negative"
